Territorio,TIPO_ALLOGGIO2,Paese di residenza dei clienti,TIME,arrivi,presenze
Italia,OTHER,Canada,2008-02-01,1184.0,6185.0
Italia,OTHER,"Ceca, Repubblica",2008-02-01,11122.0,63862.0
Italia,OTHER,Cina,2008-02-01,1495.0,5147.0
Italia,OTHER,Cipro,2008-02-01,29.0,472.0
Italia,OTHER,Corea del sud,2008-02-01,1151.0,3126.0
Italia,OTHER,Croazia,2008-02-01,1080.0,10621.0
Italia,OTHER,Danimarca,2008-02-01,3461.0,21459.0
Italia,OTHER,Egitto,2008-02-01,141.0,1792.0
Italia,OTHER,Estonia,2008-02-01,101.0,424.0
Italia,OTHER,Finlandia,2008-02-01,893.0,4054.0
Italia,OTHER,Francia,2008-02-01,13889.0,49355.0
Italia,OTHER,Germania,2008-02-01,43491.0,249226.0
Italia,OTHER,Giappone,2008-02-01,4910.0,12058.0
Italia,OTHER,Grecia,2008-02-01,904.0,3732.0
Italia,OTHER,India,2008-02-01,403.0,4807.0
Italia,OTHER,Irlanda,2008-02-01,1908.0,9617.0
Italia,OTHER,Islanda,2008-02-01,113.0,716.0
Italia,OTHER,Israele,2008-02-01,471.0,2277.0
Italia,OTHER,Italia,2008-02-01,300165.0,1555589.0
Italia,OTHER,Lettonia,2008-02-01,555.0,3416.0
Italia,OTHER,Lituania,2008-02-01,503.0,2549.0
Italia,OTHER,Lussemburgo,2008-02-01,243.0,1325.0
Italia,OTHER,Malta,2008-02-01,201.0,1313.0
Italia,OTHER,Messico,2008-02-01,632.0,2021.0
Italia,OTHER,Norvegia,2008-02-01,679.0,3108.0
Italia,OTHER,Nuova Zelanda,2008-02-01,235.0,805.0
Italia,OTHER,Paesi Bassi,2008-02-01,6962.0,38958.0
Italia,OTHER,"Paesi dell'Africa mediterranea (Libia, Tunisia, Algeria, Marocco)",2008-02-01,358.0,6805.0
Italia,OTHER,Paesi esteri,2008-02-01,180329.0,982733.0
Italia,OTHER,Polonia,2008-02-01,9494.0,70904.0
Italia,OTHER,Portogallo,2008-02-01,929.0,5256.0
Italia,OTHER,Regno unito,2008-02-01,12347.0,53991.0
Italia,OTHER,Romania,2008-02-01,2703.0,36722.0
Italia,OTHER,Russia,2008-02-01,1813.0,11004.0
Italia,OTHER,Slovacchia,2008-02-01,1301.0,8545.0
Italia,OTHER,Slovenia,2008-02-01,6667.0,44191.0
Italia,OTHER,Spagna,2008-02-01,7736.0,25237.0
Italia,OTHER,Stati Uniti,2008-02-01,8889.0,36539.0
Italia,OTHER,Sud Africa,2008-02-01,151.0,1085.0
Italia,OTHER,Svezia,2008-02-01,2329.0,12247.0
Italia,OTHER,Turchia,2008-02-01,381.0,1643.0
Italia,OTHER,Ungheria,2008-02-01,3026.0,19822.0
Italia,OTHER,Venezuela,2008-02-01,92.0,753.0
Italia,HOTELLIKE,Altri,2008-03-01,40417.0,91252.0
Italia,HOTELLIKE,"Altri Paesi del medio oriente (Arabia Saudita, Barhein, Emirati Arabi Uniti, Giordania, Irak, Iran, Kuwait, Oman, Quatar, Siria, Yemen)",2008-03-01,9574.0,32152.0
Italia,HOTELLIKE,Altri Paesi dell'Asia,2008-03-01,21527.0,56734.0
Italia,HOTELLIKE,Altri paesi africani,2008-03-01,6755.0,20561.0
Italia,HOTELLIKE,Altri paesi europei,2008-03-01,58699.0,184015.0
Italia,HOTELLIKE,Argentina,2008-03-01,10445.0,27740.0
Italia,HOTELLIKE,Australia,2008-03-01,19311.0,50720.0
Italia,HOTELLIKE,Austria,2008-03-01,75398.0,233965.0
Italia,HOTELLIKE,Belgio,2008-03-01,97163.0,309114.0
Italia,HOTELLIKE,Brasile,2008-03-01,23808.0,58661.0
Italia,HOTELLIKE,Bulgaria,2008-03-01,7220.0,22226.0
Italia,HOTELLIKE,Canada,2008-03-01,40159.0,95890.0
Italia,HOTELLIKE,"Ceca, Repubblica",2008-03-01,42192.0,196818.0
Italia,HOTELLIKE,Cina,2008-03-01,43419.0,76275.0
Italia,HOTELLIKE,Cipro,2008-03-01,1193.0,3080.0
Italia,HOTELLIKE,Corea del sud,2008-03-01,17953.0,30517.0
Italia,HOTELLIKE,Croazia,2008-03-01,13926.0,36614.0
Italia,HOTELLIKE,Danimarca,2008-03-01,24771.0,98840.0
Italia,HOTELLIKE,Egitto,2008-03-01,2606.0,9165.0
Italia,HOTELLIKE,Estonia,2008-03-01,3838.0,9718.0
Italia,HOTELLIKE,Finlandia,2008-03-01,17394.0,54895.0
Italia,HOTELLIKE,Francia,2008-03-01,168437.0,414028.0
Italia,HOTELLIKE,Germania,2008-03-01,538177.0,2354896.0
Italia,HOTELLIKE,Giappone,2008-03-01,135173.0,253903.0
Italia,HOTELLIKE,Grecia,2008-03-01,24355.0,66889.0
Italia,HOTELLIKE,India,2008-03-01,6416.0,16741.0
Italia,HOTELLIKE,Irlanda,2008-03-01,39604.0,138124.0
Italia,HOTELLIKE,Islanda,2008-03-01,1880.0,8927.0
Italia,HOTELLIKE,Israele,2008-03-01,13841.0,42271.0
Italia,HOTELLIKE,Italia,2008-03-01,3265449.0,8287129.0
Italia,HOTELLIKE,Lettonia,2008-03-01,3638.0,13979.0
Italia,HOTELLIKE,Lituania,2008-03-01,9746.0,20629.0
Italia,HOTELLIKE,Lussemburgo,2008-03-01,3349.0,12397.0
Italia,HOTELLIKE,Malta,2008-03-01,2956.0,9143.0
Italia,HOTELLIKE,Messico,2008-03-01,13561.0,28086.0
Italia,HOTELLIKE,Norvegia,2008-03-01,19047.0,64839.0
Italia,HOTELLIKE,Nuova Zelanda,2008-03-01,2918.0,7790.0
Italia,HOTELLIKE,Paesi Bassi,2008-03-01,46599.0,161670.0
Italia,HOTELLIKE,"Paesi dell'Africa mediterranea (Libia, Tunisia, Algeria, Marocco)",2008-03-01,7178.0,24734.0
Italia,HOTELLIKE,Paesi esteri,2008-03-01,2647387.0,8386905.0
Italia,HOTELLIKE,Polonia,2008-03-01,59243.0,248206.0
Italia,HOTELLIKE,Portogallo,2008-03-01,16014.0,48803.0
Italia,HOTELLIKE,Regno unito,2008-03-01,214161.0,703740.0
Italia,HOTELLIKE,Romania,2008-03-01,29164.0,112840.0
Italia,HOTELLIKE,Russia,2008-03-01,72745.0,216422.0
Italia,HOTELLIKE,Slovacchia,2008-03-01,5963.0,26149.0
Italia,HOTELLIKE,Slovenia,2008-03-01,10989.0,31880.0
Italia,HOTELLIKE,Spagna,2008-03-01,171108.0,417561.0
Italia,HOTELLIKE,Stati Uniti,2008-03-01,288347.0,717497.0
Italia,HOTELLIKE,Sud Africa,2008-03-01,3575.0,12443.0
Italia,HOTELLIKE,Svezia,2008-03-01,37748.0,145392.0
Italia,HOTELLIKE,Turchia,2008-03-01,9129.0,26435.0
Italia,HOTELLIKE,Ungheria,2008-03-01,17799.0,62594.0
Italia,HOTELLIKE,Venezuela,2008-03-01,3763.0,9248.0
Italia,OTHER,Altri,2008-03-01,3049.0,14175.0
Italia,OTHER,"Altri Paesi del medio oriente (Arabia Saudita, Barhein, Emirati Arabi Uniti, Giordania, Irak, Iran, Kuwait, Oman, Quatar, Siria, Yemen)",2008-03-01,446.0,4552.0
Italia,OTHER,Altri Paesi dell'Asia,2008-03-01,1220.0,5402.0
Italia,OTHER,Altri paesi africani,2008-03-01,465.0,5376.0
Italia,OTHER,Altri paesi europei,2008-03-01,4120.0,36164.0
Italia,OTHER,Argentina,2008-03-01,1390.0,3905.0
Italia,OTHER,Australia,2008-03-01,3128.0,9582.0
Italia,OTHER,Austria,2008-03-01,10111.0,44018.0
Italia,OTHER,Belgio,2008-03-01,6770.0,25225.0
Italia,OTHER,Brasile,2008-03-01,2142.0,10390.0
Italia,OTHER,Bulgaria,2008-03-01,575.0,2679.0
Italia,OTHER,Canada,2008-03-01,3991.0,13103.0
Italia,OTHER,"Ceca, Repubblica",2008-03-01,13334.0,74560.0
Italia,OTHER,Cina,2008-03-01,2189.0,7763.0
Italia,OTHER,Cipro,2008-03-01,103.0,351.0
Italia,OTHER,Corea del sud,2008-03-01,753.0,2221.0
Italia,OTHER,Croazia,2008-03-01,1582.0,11010.0
Italia,OTHER,Danimarca,2008-03-01,3813.0,20234.0
Italia,OTHER,Egitto,2008-03-01,196.0,1942.0
Italia,OTHER,Estonia,2008-03-01,356.0,1132.0
Italia,OTHER,Finlandia,2008-03-01,1382.0,5849.0
Italia,OTHER,Francia,2008-03-01,15088.0,49014.0
Italia,OTHER,Germania,2008-03-01,102140.0,540510.0
Italia,OTHER,Giappone,2008-03-01,5834.0,15897.0
Italia,OTHER,Grecia,2008-03-01,1308.0,5011.0
Italia,OTHER,India,2008-03-01,605.0,4227.0
Italia,OTHER,Irlanda,2008-03-01,3814.0,15566.0
Italia,OTHER,Islanda,2008-03-01,183.0,939.0
Italia,OTHER,Israele,2008-03-01,726.0,3314.0
Italia,OTHER,Italia,2008-03-01,447297.0,1943859.0
Italia,OTHER,Lettonia,2008-03-01,474.0,2608.0
Italia,OTHER,Lituania,2008-03-01,779.0,3617.0
Italia,OTHER,Lussemburgo,2008-03-01,297.0,1259.0
Italia,OTHER,Malta,2008-03-01,293.0,1770.0
Italia,OTHER,Messico,2008-03-01,1358.0,3252.0
Italia,OTHER,Norvegia,2008-03-01,1464.0,6130.0
Italia,OTHER,Nuova Zelanda,2008-03-01,586.0,1711.0
Italia,OTHER,Paesi Bassi,2008-03-01,5669.0,26487.0
Italia,OTHER,"Paesi dell'Africa mediterranea (Libia, Tunisia, Algeria, Marocco)",2008-03-01,474.0,7961.0
Italia,OTHER,Paesi esteri,2008-03-01,304166.0,1412673.0
Italia,OTHER,Polonia,2008-03-01,9137.0,51517.0
Italia,OTHER,Portogallo,2008-03-01,1556.0,7683.0
Italia,OTHER,Regno unito,2008-03-01,19846.0,78871.0
Italia,OTHER,Romania,2008-03-01,2950.0,33776.0
Italia,OTHER,Russia,2008-03-01,2480.0,11590.0
Italia,OTHER,Slovacchia,2008-03-01,1340.0,8992.0
Italia,OTHER,Slovenia,2008-03-01,1764.0,10307.0
Italia,OTHER,Spagna,2008-03-01,14523.0,45525.0
Italia,OTHER,Stati Uniti,2008-03-01,27849.0,90443.0
Italia,OTHER,Sud Africa,2008-03-01,580.0,2388.0
Italia,OTHER,Svezia,2008-03-01,3645.0,16954.0
Italia,OTHER,Turchia,2008-03-01,441.0,1918.0
Italia,OTHER,Ungheria,2008-03-01,3563.0,19386.0
Italia,OTHER,Venezuela,2008-03-01,250.0,1106.0
Italia,HOTELLIKE,Altri,2008-04-01,44779.0,105591.0
Italia,HOTELLIKE,"Altri Paesi del medio oriente (Arabia Saudita, Barhein, Emirati Arabi Uniti, Giordania, Irak, Iran, Kuwait, Oman, Quatar, Siria, Yemen)",2008-04-01,9875.0,33449.0
Italia,HOTELLIKE,Altri Paesi dell'Asia,2008-04-01,31022.0,70782.0
Italia,HOTELLIKE,Altri paesi africani,2008-04-01,8465.0,25326.0
Italia,HOTELLIKE,Altri paesi europei,2008-04-01,68214.0,185913.0
Italia,HOTELLIKE,Argentina,2008-04-01,11166.0,28900.0
Italia,HOTELLIKE,Australia,2008-04-01,41039.0,101276.0
Italia,HOTELLIKE,Austria,2008-04-01,103513.0,289328.0
Italia,HOTELLIKE,Belgio,2008-04-01,47479.0,173143.0
Italia,HOTELLIKE,Brasile,2008-04-01,35397.0,84156.0
Italia,HOTELLIKE,Bulgaria,2008-04-01,13750.0,34125.0
Italia,HOTELLIKE,Canada,2008-04-01,35337.0,97024.0
Italia,HOTELLIKE,"Ceca, Repubblica",2008-04-01,12325.0,42884.0
Italia,HOTELLIKE,Cina,2008-04-01,54780.0,88014.0
Italia,HOTELLIKE,Cipro,2008-04-01,1865.0,5081.0
Italia,HOTELLIKE,Corea del sud,2008-04-01,27969.0,47250.0
Italia,HOTELLIKE,Croazia,2008-04-01,14616.0,34519.0
Italia,HOTELLIKE,Danimarca,2008-04-01,26052.0,87282.0
Italia,HOTELLIKE,Egitto,2008-04-01,2984.0,11772.0
Italia,HOTELLIKE,Estonia,2008-04-01,4564.0,9870.0
Italia,HOTELLIKE,Finlandia,2008-04-01,21998.0,69440.0
Italia,HOTELLIKE,Francia,2008-04-01,291833.0,738912.0
Italia,HOTELLIKE,Germania,2008-04-01,481196.0,1794153.0
Italia,HOTELLIKE,Giappone,2008-04-01,99219.0,188749.0
Italia,HOTELLIKE,Grecia,2008-04-01,35358.0,91526.0
Italia,HOTELLIKE,India,2008-04-01,13138.0,28207.0
Italia,HOTELLIKE,Irlanda,2008-04-01,25602.0,95587.0
Italia,HOTELLIKE,Islanda,2008-04-01,1721.0,5402.0
Italia,HOTELLIKE,Israele,2008-04-01,18370.0,49416.0
Italia,HOTELLIKE,Italia,2008-04-01,3563805.0,8034137.0
Italia,HOTELLIKE,Lettonia,2008-04-01,2611.0,5368.0
Italia,HOTELLIKE,Lituania,2008-04-01,7941.0,15481.0
Italia,HOTELLIKE,Lussemburgo,2008-04-01,3117.0,10303.0
Italia,HOTELLIKE,Malta,2008-04-01,2039.0,6045.0
Italia,HOTELLIKE,Messico,2008-04-01,11766.0,29601.0
Italia,HOTELLIKE,Norvegia,2008-04-01,26395.0,86369.0
Italia,HOTELLIKE,Nuova Zelanda,2008-04-01,5688.0,14228.0
Italia,HOTELLIKE,Paesi Bassi,2008-04-01,70325.0,192141.0
Italia,HOTELLIKE,"Paesi dell'Africa mediterranea (Libia, Tunisia, Algeria, Marocco)",2008-04-01,8074.0,26663.0
Italia,HOTELLIKE,Paesi esteri,2008-04-01,2806388.0,8053913.0
Italia,HOTELLIKE,Polonia,2008-04-01,63376.0,184408.0
Italia,HOTELLIKE,Portogallo,2008-04-01,16283.0,47581.0
Italia,HOTELLIKE,Regno unito,2008-04-01,203672.0,676509.0
Italia,HOTELLIKE,Romania,2008-04-01,32053.0,117405.0
Italia,HOTELLIKE,Russia,2008-04-01,76583.0,201469.0
Italia,HOTELLIKE,Slovacchia,2008-04-01,4835.0,17357.0
Italia,HOTELLIKE,Slovenia,2008-04-01,18186.0,36305.0
Italia,HOTELLIKE,Spagna,2008-04-01,131055.0,334455.0
