Territorio;Indicatori;Tipologia di esercizio;Paese di residenza dei clienti;TIME;Value;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/03/2014;7490;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/04/2014;10286;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/05/2014;10418;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/06/2014;10790;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/07/2014;11689;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/08/2014;12619;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/09/2014;11561;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/10/2014;10523;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/11/2014;8446;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/12/2014;7787;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/01/2015;9130;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/02/2015;8147;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/03/2015;10452;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/04/2015;12993;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/05/2015;13617;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/06/2015;15250;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/07/2015;17244;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/08/2015;18428;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/09/2015;16354;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/10/2015;15372;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/11/2015;10702;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/12/2015;9762;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/01/2016;9650;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/02/2016;10568;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/03/2016;10897;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/04/2016;12003;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/05/2016;13852;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/06/2016;12518;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/07/2016;18864;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/08/2016;16255;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/09/2016;15402;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/10/2016;13978;;;;;
Italia;arrivi ;esercizi alberghieri;Altri paesi africani;01/11/2016;10605;;;;;
