Region,Infrastructure,ResidenceCountry,Date,Arrivals,Attendance
Abruzzo,OTHER,Russia,2008-03-01,7.0,34.0
Abruzzo,OTHER,Slovacchia,2008-03-01,4.0,26.0
Abruzzo,OTHER,Slovenia,2008-03-01,5.0,30.0
Abruzzo,OTHER,Spagna,2008-03-01,40.0,130.0
Abruzzo,OTHER,Stati Uniti,2008-03-01,77.0,258.0
Abruzzo,OTHER,Sud Africa,2008-03-01,2.0,7.0
Abruzzo,OTHER,Svezia,2008-03-01,11.0,49.0
Abruzzo,OTHER,Turchia,2008-03-01,2.0,6.0
Abruzzo,OTHER,Ungheria,2008-03-01,10.0,56.0
Abruzzo,OTHER,Venezuela,2008-03-01,1.0,4.0
Abruzzo,HOTELLIKE,Altri,2008-04-01,157.0,403.0
Abruzzo,HOTELLIKE,"Altri Paesi del medio oriente (Arabia Saudita, Barhein, Emirati Arabi Uniti, Giordania, Irak, Iran, Kuwait, Oman, Quatar, Siria, Yemen)",2008-04-01,35.0,128.0
Abruzzo,HOTELLIKE,Altri Paesi dell'Asia,2008-04-01,109.0,271.0
Abruzzo,HOTELLIKE,Altri paesi africani,2008-04-01,30.0,97.0
Abruzzo,HOTELLIKE,Altri paesi europei,2008-04-01,238.0,710.0
Abruzzo,HOTELLIKE,Argentina,2008-04-01,39.0,111.0
Abruzzo,HOTELLIKE,Australia,2008-04-01,144.0,387.0
Abruzzo,HOTELLIKE,Austria,2008-04-01,361.0,1104.0
Abruzzo,HOTELLIKE,Belgio,2008-04-01,166.0,661.0
Abruzzo,HOTELLIKE,Brasile,2008-04-01,124.0,322.0
Abruzzo,HOTELLIKE,Bulgaria,2008-04-01,48.0,131.0
Abruzzo,HOTELLIKE,Canada,2008-04-01,124.0,371.0
Abruzzo,HOTELLIKE,"Ceca, Repubblica",2008-04-01,43.0,164.0
Abruzzo,HOTELLIKE,Cina,2008-04-01,191.0,336.0
Abruzzo,HOTELLIKE,Cipro,2008-04-01,7.0,20.0
Abruzzo,HOTELLIKE,Corea del sud,2008-04-01,98.0,181.0
Abruzzo,HOTELLIKE,Croazia,2008-04-01,51.0,132.0
Abruzzo,HOTELLIKE,Danimarca,2008-04-01,91.0,333.0
Abruzzo,HOTELLIKE,Egitto,2008-04-01,11.0,45.0
Abruzzo,HOTELLIKE,Estonia,2008-04-01,16.0,38.0
Abruzzo,HOTELLIKE,Finlandia,2008-04-01,77.0,265.0
Abruzzo,HOTELLIKE,Francia,2008-04-01,1018.0,2820.0
Abruzzo,HOTELLIKE,Germania,2008-04-01,1678.0,6845.0
Abruzzo,HOTELLIKE,Giappone,2008-04-01,346.0,721.0
Abruzzo,HOTELLIKE,Grecia,2008-04-01,124.0,350.0
Abruzzo,HOTELLIKE,India,2008-04-01,46.0,108.0
Abruzzo,HOTELLIKE,Irlanda,2008-04-01,90.0,365.0
Abruzzo,HOTELLIKE,Islanda,2008-04-01,6.0,21.0
Abruzzo,HOTELLIKE,Israele,2008-04-01,65.0,189.0
Abruzzo,HOTELLIKE,Italia,2008-04-01,12424.0,30652.0
Abruzzo,HOTELLIKE,Lettonia,2008-04-01,10.0,21.0
Abruzzo,HOTELLIKE,Lituania,2008-04-01,28.0,60.0
Abruzzo,HOTELLIKE,Lussemburgo,2008-04-01,11.0,40.0
Abruzzo,HOTELLIKE,Malta,2008-04-01,8.0,24.0
Abruzzo,HOTELLIKE,Messico,2008-04-01,42.0,113.0
Abruzzo,HOTELLIKE,Norvegia,2008-04-01,93.0,330.0
Abruzzo,HOTELLIKE,Nuova Zelanda,2008-04-01,20.0,55.0
Abruzzo,HOTELLIKE,Paesi Bassi,2008-04-01,246.0,734.0
Abruzzo,HOTELLIKE,"Paesi dell'Africa mediterranea (Libia, Tunisia, Algeria, Marocco)",2008-04-01,29.0,102.0
Abruzzo,HOTELLIKE,Paesi esteri,2008-04-01,9784.0,30728.0
Abruzzo,HOTELLIKE,Polonia,2008-04-01,221.0,704.0
Abruzzo,HOTELLIKE,Portogallo,2008-04-01,57.0,182.0
Abruzzo,HOTELLIKE,Regno unito,2008-04-01,711.0,2581.0
Abruzzo,HOTELLIKE,Romania,2008-04-01,112.0,448.0
Abruzzo,HOTELLIKE,Russia,2008-04-01,267.0,769.0
Abruzzo,HOTELLIKE,Slovacchia,2008-04-01,17.0,67.0
Abruzzo,HOTELLIKE,Slovenia,2008-04-01,64.0,139.0
Abruzzo,HOTELLIKE,Spagna,2008-04-01,457.0,1277.0
