Territorio,TIPO_ALLOGGIO2,Paese di residenza dei clienti,TIME,arrivi,presenze
L'Aquila,OTHER,Italia,2009-08-01,7717,33985
L'Aquila,OTHER,Paesi esteri,2009-08-01,564,1965
Pescara,HOTELLIKE,Italia,2009-08-01,30296,130615
Pescara,HOTELLIKE,Paesi esteri,2009-08-01,4815,18929
Pescara,OTHER,Italia,2009-08-01,2848,11048
Pescara,OTHER,Paesi esteri,2009-08-01,518,4480
Teramo,HOTELLIKE,Italia,2009-08-01,60179,431284
Teramo,HOTELLIKE,Paesi esteri,2009-08-01,5578,41764
Teramo,OTHER,Italia,2009-08-01,43111,518434
Teramo,OTHER,Paesi esteri,2009-08-01,6396,59431
Abruzzo,HOTELLIKE,Italia,2009-09-01,76606,368819
Abruzzo,HOTELLIKE,Paesi esteri,2009-09-01,14173,70350
Abruzzo,OTHER,Italia,2009-09-01,10800,110730
Abruzzo,OTHER,Paesi esteri,2009-09-01,3974,38561
Chieti,HOTELLIKE,Italia,2009-09-01,18228,58858
Chieti,HOTELLIKE,Paesi esteri,2009-09-01,2816,8574
Chieti,OTHER,Italia,2009-09-01,2070,18722
Chieti,OTHER,Paesi esteri,2009-09-01,443,2837
L'Aquila,HOTELLIKE,Italia,2009-09-01,16826,73231
L'Aquila,HOTELLIKE,Paesi esteri,2009-09-01,2098,9022
L'Aquila,OTHER,Italia,2009-09-01,1931,6668
L'Aquila,OTHER,Paesi esteri,2009-09-01,459,1617
Pescara,HOTELLIKE,Italia,2009-09-01,22285,81822
Pescara,HOTELLIKE,Paesi esteri,2009-09-01,4512,15210
Pescara,OTHER,Italia,2009-09-01,1000,4095
Pescara,OTHER,Paesi esteri,2009-09-01,193,2474
Teramo,HOTELLIKE,Italia,2009-09-01,19267,154908
Teramo,HOTELLIKE,Paesi esteri,2009-09-01,4747,37544
Teramo,OTHER,Italia,2009-09-01,5799,81245
Teramo,OTHER,Paesi esteri,2009-09-01,2879,31633
Abruzzo,HOTELLIKE,Italia,2009-10-01,56304,219220
Abruzzo,HOTELLIKE,Paesi esteri,2009-10-01,8715,38011
Abruzzo,OTHER,Italia,2009-10-01,4380,24649
Abruzzo,OTHER,Paesi esteri,2009-10-01,1216,9534
Chieti,HOTELLIKE,Italia,2009-10-01,13659,39799
Chieti,HOTELLIKE,Paesi esteri,2009-10-01,2182,6599
Chieti,OTHER,Italia,2009-10-01,1076,8049
Chieti,OTHER,Paesi esteri,2009-10-01,207,1581
L'Aquila,HOTELLIKE,Italia,2009-10-01,11565,54573
L'Aquila,HOTELLIKE,Paesi esteri,2009-10-01,1218,6936
L'Aquila,OTHER,Italia,2009-10-01,1135,4531
L'Aquila,OTHER,Paesi esteri,2009-10-01,179,1033
Pescara,HOTELLIKE,Italia,2009-10-01,20467,57120
Pescara,HOTELLIKE,Paesi esteri,2009-10-01,3124,11389
Pescara,OTHER,Italia,2009-10-01,915,3729
Pescara,OTHER,Paesi esteri,2009-10-01,133,1035
Teramo,HOTELLIKE,Italia,2009-10-01,10613,67728
Teramo,HOTELLIKE,Paesi esteri,2009-10-01,2191,13087
Teramo,OTHER,Italia,2009-10-01,1254,8340
