Region,Infrastructure,ResidenceCountry,Date,Arrivals,Attendance
Pescara,HOTELLIKE,Italia,2019,296175.0,747034.0
Pescara,HOTELLIKE,Paesi esteri,2019,48883.0,133053.0
Pescara,OTHER,Italia,2019,25126.0,63128.0
Pescara,OTHER,Paesi esteri,2019,6882.0,23420.0
Teramo,HOTELLIKE,Italia,2019,336350.0,1580275.0
Teramo,HOTELLIKE,Paesi esteri,2019,41581.0,228216.0
Teramo,OTHER,Italia,2019,154491.0,1253052.0
Teramo,OTHER,Paesi esteri,2019,30347.0,226509.0
Abruzzo,HOTELLIKE,Italia,2020,764194.0,2491851.0
Abruzzo,HOTELLIKE,Paesi esteri,2020,42496.0,151709.0
Abruzzo,OTHER,Italia,2020,245301.0,1288088.0
Abruzzo,OTHER,Paesi esteri,2020,17876.0,81144.0
Chieti,HOTELLIKE,Italia,2020,132889.0,338254.0
Chieti,HOTELLIKE,Paesi esteri,2020,7646.0,21465.0
Chieti,OTHER,Italia,2020,54935.0,265421.0
Chieti,OTHER,Paesi esteri,2020,3535.0,13041.0
L'Aquila,HOTELLIKE,Italia,2020,220469.0,563026.0
L'Aquila,HOTELLIKE,Paesi esteri,2020,6513.0,16818.0
L'Aquila,OTHER,Italia,2020,61381.0,147711.0
L'Aquila,OTHER,Paesi esteri,2020,3392.0,8444.0
Pescara,HOTELLIKE,Italia,2020,173689.0,475081.0
Pescara,HOTELLIKE,Paesi esteri,2020,14560.0,39845.0
Pescara,OTHER,Italia,2020,20978.0,67773.0
Pescara,OTHER,Paesi esteri,2020,2387.0,8046.0
Teramo,HOTELLIKE,Italia,2020,237147.0,1115490.0
Teramo,HOTELLIKE,Paesi esteri,2020,13777.0,73581.0
Teramo,OTHER,Italia,2020,108007.0,807183.0
Teramo,OTHER,Paesi esteri,2020,8562.0,51613.0
Abruzzo,HOTELLIKE,Italia,2021,909819.0,3015888.0
Abruzzo,HOTELLIKE,Paesi esteri,2021,73271.0,275531.0
Abruzzo,OTHER,Italia,2021,308337.0,1710400.0
Abruzzo,OTHER,Paesi esteri,2021,39460.0,195946.0
Chieti,HOTELLIKE,Italia,2021,176684.0,445537.0
Chieti,HOTELLIKE,Paesi esteri,2021,13253.0,40877.0
Chieti,OTHER,Italia,2021,66390.0,283155.0
Chieti,OTHER,Paesi esteri,2021,6683.0,23280.0
L'Aquila,HOTELLIKE,Italia,2021,204021.0,485986.0
L'Aquila,HOTELLIKE,Paesi esteri,2021,11188.0,28283.0
L'Aquila,OTHER,Italia,2021,66468.0,147089.0
L'Aquila,OTHER,Paesi esteri,2021,6522.0,16575.0
Pescara,HOTELLIKE,Italia,2021,221549.0,616888.0
Pescara,HOTELLIKE,Paesi esteri,2021,22845.0,66557.0
Pescara,OTHER,Italia,2021,26086.0,72152.0
Pescara,OTHER,Paesi esteri,2021,5436.0,17261.0
Teramo,HOTELLIKE,Italia,2021,307565.0,1467477.0
Teramo,HOTELLIKE,Paesi esteri,2021,25985.0,139814.0
Teramo,OTHER,Italia,2021,149393.0,1208004.0
Teramo,OTHER,Paesi esteri,2021,20819.0,138830.0
